sortTime,departureTime_timeAMPM,departureTime_time24,arrivalTime_timeAMPM,arrivalTime_time24,carrier_fs,carrier_name,carrier_flightNumber,operatedBy,url,airport_fs,airport_city,isCodeshare
2024-03-28T07:45:00.000Z,1:40PM,13:40,2:45PM,14:45,GA,Garuda Indonesia,9271,Operated by Malaysia Airlines 721,/flight-tracker/GA/9271?year=2024&amp;month=3&amp;date=28&amp;flightId=1243042800,KUL,Kuala Lumpur,TRUE
2024-03-28T07:45:00.000Z,1:40PM,13:40,2:45PM,14:45,QR,Qatar Airways,5000,Operated by Malaysia Airlines 721,/flight-tracker/QR/5000?year=2024&amp;month=3&amp;date=28&amp;flightId=1243042800,KUL,Kuala Lumpur,TRUE
2024-03-28T07:45:00.000Z,1:40PM,13:40,2:45PM,14:45,UL,SriLankan Airlines,2721,Operated by Malaysia Airlines 721,/flight-tracker/UL/2721?year=2024&amp;month=3&amp;date=28&amp;flightId=1243042800,KUL,Kuala Lumpur,TRUE
2024-03-28T07:45:00.000Z,1:40PM,13:40,2:45PM,14:45,WY,Oman Air,5713,Operated by Malaysia Airlines 721,/flight-tracker/WY/5713?year=2024&amp;month=3&amp;date=28&amp;flightId=1243042800,KUL,Kuala Lumpur,TRUE
2024-03-28T07:45:00.000Z,1:00PM,13:00,2:45PM,14:45,SJV,Super Air Jet,865,,/flight-tracker/SJV/865?year=2024&amp;month=3&amp;date=28&amp;flightId=1243031981,PKU,Pekanbaru,
2024-03-28T07:45:00.000Z,1:05PM,13:05,2:45PM,14:45,SJV,Super Air Jet,859,,/flight-tracker/SJV/859?year=2024&amp;month=3&amp;date=28&amp;flightId=1243032038,BTH,Batam,
2024-03-28T07:45:00.000Z,1:15PM,13:15,2:45PM,14:45,JT*,Lion Air,685,,/flight-tracker/JT*/685?year=2024&amp;month=3&amp;date=28&amp;flightId=1243034771,PNK,Pontianak,
2024-03-28T07:50:00.000Z,1:50PM,13:50,2:50PM,14:50,GA,Garuda Indonesia,409,,/flight-tracker/GA/409?year=2024&amp;month=3&amp;date=28&amp;flightId=1243026473,DPS,Denpasar,
2024-03-28T07:50:00.000Z,1:50PM,13:50,2:50PM,14:50,EK,Emirates,7252,Operated by Garuda Indonesia 409,/flight-tracker/EK/7252?year=2024&amp;month=3&amp;date=28&amp;flightId=1243026473,DPS,Denpasar,TRUE
2024-03-28T07:50:00.000Z,1:50PM,13:50,2:50PM,14:50,EY,Etihad Airways,7112,Operated by Garuda Indonesia 409,/flight-tracker/EY/7112?year=2024&amp;month=3&amp;date=28&amp;flightId=1243026473,DPS,Denpasar,TRUE
2024-03-28T07:50:00.000Z,1:50PM,13:50,2:50PM,14:50,KL,KLM,4039,Operated by Garuda Indonesia 409,/flight-tracker/KL/4039?year=2024&amp;month=3&amp;date=28&amp;flightId=1243026473,DPS,Denpasar,TRUE
2024-03-28T07:50:00.000Z,1:50PM,13:50,2:50PM,14:50,SV,Saudia,6366,Operated by Garuda Indonesia 409,/flight-tracker/SV/6366?year=2024&amp;month=3&amp;date=28&amp;flightId=1243026473,DPS,Denpasar,TRUE
2024-03-28T07:50:00.000Z,1:50PM,13:50,2:50PM,14:50,TK,Turkish Airlines,9369,Operated by Garuda Indonesia 409,/flight-tracker/TK/9369?year=2024&amp;month=3&amp;date=28&amp;flightId=1243026473,DPS,Denpasar,TRUE
2024-03-28T07:50:00.000Z,1:50PM,13:50,2:50PM,14:50,VN,Vietnam Airlines,3935,Operated by Garuda Indonesia 409,/flight-tracker/VN/3935?year=2024&amp;month=3&amp;date=28&amp;flightId=1243026473,DPS,Denpasar,TRUE
2024-03-28T07:50:00.000Z,2:00PM,14:00,2:50PM,14:50,6D,Pelita Air Service,613,,/flight-tracker/6D/613?year=2024&amp;month=3&amp;date=28&amp;flightId=1243031678,BDJ,Banjarmasin,
2024-03-28T07:50:00.000Z,1:15PM,13:15,2:50PM,14:50,ID*,Batik Air,6595,,/flight-tracker/ID*/6595?year=2024&amp;month=3&amp;date=28&amp;flightId=1243031265,SUB,Surabaya,
2024-03-28T07:50:00.000Z,3:15PM,15:15,4:25PM,16:25,ID*,Batik Air,6371,,/flight-tracker/ID*/6371?year=2024&amp;month=3&amp;date=28&amp;flightId=1243031262,YIA,Yogyakarta,
